no.,receiving_date,location,harvesting_date,mass_g,volume_ml,yield_of_juice_ml,polyphenols_content_mg,polyphenols_concentration_mggae/ml,length,width,location_ElJahliye,location_Hasbaya,location_Rachiine,day_time_diff,n_days,maturity,humidity,solar_radiation,air_temperature,degree_brix,ta_av,mi,Cluster,polyphenols_category
1.0,2023-09-05,Hasbaya,2023-09-04,295.8,290.0,100.0,118.2194617,1.182194617,69.185,84.98,False,True,False,0.037037037037037,1,False,57.05,272.0,24.16,14.2,1.792,7.92410714285714,2,low
2.0,2023-09-05,Hasbaya,2023-09-04,165.28,150.0,61.0,50.64389234,0.830227743,58.32,69.82,False,True,False,0.037037037037037,1,False,57.05,272.0,24.16,12.0,1.696,7.07547169811321,2,low
3.0,2023-09-05,Hasbaya,2023-09-04,154.8,150.0,43.0,69.5300207,1.616977226,55.735,70.06,False,True,False,0.037037037037037,1,False,57.05,272.0,24.16,10.5,1.68,6.25,2,low
4.0,2023-09-05,Hasbaya,2023-09-04,169.76,150.0,51.0,85.21118012,1.670807453,58.91,70.1,False,True,False,0.037037037037037,1,False,57.05,272.0,24.16,11.2,1.776,6.30630630630631,2,low
5.0,2023-09-05,Hasbaya,2023-09-04,238.38,240.0,93.0,162.1242236,1.743271222,66.945,78.83,False,True,False,0.037037037037037,1,False,57.05,272.0,24.16,13.0,1.744,7.45412844036697,2,low
6.0,2023-09-05,Hasbaya,2023-09-04,281.34,270.0,94.0,93.41614907,0.99378882,68.32,81.62,False,True,False,0.037037037037037,1,False,57.05,272.0,24.16,12.0,1.6,7.5,2,low
7.0,2023-09-05,Hasbaya,2023-09-04,174.9,150.0,70.0,85.36231884,1.219461698,55.11,68.75,False,True,False,0.037037037037037,1,False,57.05,272.0,24.16,12.0,1.648,7.28155339805825,2,low
8.0,2023-09-05,Hasbaya,2023-09-04,142.23,140.0,58.0,106.5134576,1.836438923,53.81,66.68,False,True,False,0.037037037037037,1,False,57.05,272.0,24.16,11.2,1.728,6.48148148148148,2,low
9.0,2023-09-05,Hasbaya,2023-09-04,158.59,150.0,50.0,64.59627329,1.291925466,58.335,65.35,False,True,False,0.037037037037037,1,False,57.05,272.0,24.16,11.0,1.872,5.87606837606838,2,low
10.0,2023-09-05,Hasbaya,2023-09-04,150.62,150.0,59.0,94.79089027,1.606625259,54.63,69.45,False,True,False,0.037037037037037,1,False,57.05,272.0,24.16,12.5,2.32,5.38793103448276,2,low
11.0,2023-09-05,Hasbaya,2023-09-04,230.43,220.0,78.0,147.7639752,1.894409938,64.315,79.73,False,True,False,0.037037037037037,1,False,57.05,272.0,24.16,12.9,2.448,5.26960784313725,2,low
12.0,2023-09-05,Hasbaya,2023-09-04,117.65,150.0,36.0,73.86335404,2.051759834,49.72,58.31,False,True,False,0.037037037037037,1,False,57.05,272.0,24.16,13.0,2.176,5.97426470588235,2,low
13.0,2023-09-05,Hasbaya,2023-09-04,217.3,200.0,76.0,207.0724638,2.724637681,60.68,72.41,False,True,False,0.037037037037037,1,False,57.05,272.0,24.16,13.8,1.84,7.5,2,moderate
14.0,2023-09-05,Hasbaya,2023-09-04,117.82,140.0,68.0,126.1449275,1.855072464,57.715,68.64,False,True,False,0.037037037037037,1,False,57.05,272.0,24.16,11.0,1.968,5.58943089430894,2,low
15.0,2023-09-05,Hasbaya,2023-09-04,220.95,200.0,61.0,142.5859213,2.33747412,67.14,76.47,False,True,False,0.037037037037037,1,False,57.05,272.0,24.16,12.5,1.968,6.35162601626016,2,low
16.0,2023-09-05,Hasbaya,2023-09-04,263.7,250.0,100.0,108.2815735,1.082815735,66.05,79.81,False,True,False,0.037037037037037,1,False,57.05,272.0,24.16,10.0,1.664,6.00961538461538,2,low
17.0,2023-09-05,Hasbaya,2023-09-04,198.46,190.0,68.0,117.2753623,1.724637681,58.4,76.84,False,True,False,0.037037037037037,1,False,57.05,272.0,24.16,7.4,1.792,4.12946428571429,2,low
18.0,2023-09-05,Hasbaya,2023-09-04,146.03,140.0,48.0,82.88198758,1.726708075,47.52,62.08,False,True,False,0.037037037037037,1,False,57.05,272.0,24.16,13.2,2.128,6.20300751879699,2,low
19.0,2023-09-05,Hasbaya,2023-09-04,143.9,140.0,53.0,111.9254658,2.111801242,52.24,63.83,False,True,False,0.037037037037037,1,False,57.05,272.0,24.16,10.6,2.24,4.73214285714286,2,low
20.0,2023-09-05,Hasbaya,2023-09-04,181.34,170.0,61.0,108.4865424,1.778467909,55.18,69.48,False,True,False,0.037037037037037,1,False,57.05,272.0,24.16,11.6,2.368,4.89864864864865,2,low
21.0,2023-09-05,Hasbaya,2023-09-04,108.66,150.0,32.0,50.55072464,1.579710145,41.89,54.42,False,True,False,0.037037037037037,1,False,57.05,272.0,24.16,12.8,2.464,5.19480519480519,2,low
22.0,2023-09-05,Hasbaya,2023-09-04,157.77,100.0,60.0,150.0621118,2.501035197,56.375,67.43,False,True,False,0.037037037037037,1,False,57.05,272.0,24.16,13.0,2.336,5.56506849315068,2,low
23.0,2023-09-05,Hasbaya,2023-09-04,246.62,250.0,92.0,243.4285714,2.645962733,65.635,75.88,False,True,False,0.037037037037037,1,False,57.05,272.0,24.16,13.5,2.304,5.859375,2,moderate
24.0,2023-09-08,ElJahliye,2023-09-07,133.76,140.0,43.0,73.3581781,1.706004141,56.485,62.2,True,False,False,0.1481481481481481,1,False,52.96,258.0,23.5,11.1,1.952,5.68647540983607,1,low
25.0,2023-09-08,ElJahliye,2023-09-07,108.61,100.0,38.0,59.6356108,1.569358178,49.11,53.71,True,False,False,0.1481481481481481,1,False,52.96,258.0,23.5,12.2,2.88,4.23611111111111,1,low
26.0,2023-09-08,ElJahliye,2023-09-07,152.39,140.0,53.0,84.4927536,1.594202899,58.5,63.76,True,False,False,0.1481481481481481,1,False,52.96,258.0,23.5,11.9,2.016,5.90277777777778,1,low
27.0,2023-09-08,ElJahliye,2023-09-07,153.66,150.0,52.0,99.8012422,1.919254658,56.32,64.67,True,False,False,0.1481481481481481,1,False,52.96,258.0,23.5,12.0,2.112,5.68181818181818,1,low
28.0,2023-09-08,ElJahliye,2023-09-07,212.93,200.0,73.0,163.985507,2.246376812,65.37,73.96,True,False,False,0.1481481481481481,1,False,52.96,258.0,23.5,11.8,2.176,5.42279411764706,1,low
29.0,2023-09-08,ElJahliye,2023-09-07,236.54,220.0,81.0,169.881988,2.097308489,65.07,74.14,True,False,False,0.1481481481481481,1,False,52.96,258.0,23.5,12.0,2.144,5.59701492537313,1,low
30.0,2023-09-08,ElJahliye,2023-09-07,159.69,150.0,54.0,135.391304,2.507246377,55.155,68.41,True,False,False,0.1481481481481481,1,False,52.96,258.0,23.5,15.0,2.496,6.00961538461538,1,low
31.0,2023-09-08,ElJahliye,2023-09-07,143.94,140.0,48.0,88.7453416,1.848861284,50.505,57.6,True,False,False,0.1481481481481481,1,False,52.96,258.0,23.5,12.6,1.856,6.78879310344828,1,low
32.0,2023-09-08,ElJahliye,2023-09-07,203.39,190.0,70.0,136.231884,1.946169772,59.815,80.78,True,False,False,0.1481481481481481,1,False,52.96,258.0,23.5,13.0,1.792,7.25446428571429,1,low
33.0,2023-09-08,ElJahliye,2023-09-07,151.04,140.0,54.0,133.6024845,2.474120083,54.36,63.47,True,False,False,0.1481481481481481,1,False,52.96,258.0,23.5,13.6,2.24,6.07142857142857,1,low
34.0,2023-09-08,ElJahliye,2023-09-07,156.5,150.0,52.0,110.244306,2.120082816,55.585,64.54,True,False,False,0.1481481481481481,1,False,52.96,258.0,23.5,14.0,2.016,6.94444444444444,1,low
35.0,2023-09-08,ElJahliye,2023-09-07,101.91,100.0,32.0,66.5838509,2.080745342,50.53,57.72,True,False,False,0.1481481481481481,1,False,52.96,258.0,23.5,13.9,3.84,3.61979166666667,1,low
36.0,2023-09-08,ElJahliye,2023-09-07,137.94,130.0,44.0,60.2153209,1.368530021,53.16,62.33,True,False,False,0.1481481481481481,1,False,52.96,258.0,23.5,11.2,2.144,5.22388059701493,1,low
37.0,2023-09-08,ElJahliye,2023-09-07,151.84,140.0,49.0,80.4492754,1.641821946,53.065,64.54,True,False,False,0.1481481481481481,1,False,52.96,258.0,23.5,12.5,1.728,7.2337962962963,1,low
38.0,2023-09-08,ElJahliye,2023-09-07,109.34,110.0,35.0,51.2318841,1.463768116,48.46,59.31,True,False,False,0.1481481481481481,1,False,52.96,258.0,23.5,13.0,2.464,5.27597402597403,1,low
39.0,2023-09-08,ElJahliye,2023-09-07,87.67,90.0,32.0,55.320911,1.728778468,45.365,54.33,True,False,False,0.1481481481481481,1,False,52.96,258.0,23.5,12.6,2.464,5.11363636363636,1,low
40.0,2023-09-08,ElJahliye,2023-09-07,81.41,80.0,20.0,31.5942029,1.579710145,44.5,48.08,True,False,False,0.1481481481481481,1,False,52.96,258.0,23.5,13.0,3.616,3.59513274336283,1,low
41.0,2023-09-08,ElJahliye,2023-09-07,62.58,60.0,21.0,44.7391304,2.130434783,38.07,47.2,True,False,False,0.1481481481481481,1,False,52.96,258.0,23.5,14.1,4.544,3.10299295774648,1,low
42.0,2023-09-08,ElJahliye,2023-09-07,103.14,100.0,39.0,69.4409938,1.780538302,48.98,58.2,True,False,False,0.1481481481481481,1,False,52.96,258.0,23.5,13.9,2.88,4.82638888888889,1,low
43.0,2023-09-08,ElJahliye,2023-09-07,97.81,90.0,34.0,82.9937888,2.440993789,46.465,55.48,True,False,False,0.1481481481481481,1,False,52.96,258.0,23.5,14.2,2.368,5.99662162162162,1,low
44.0,2023-09-08,ElJahliye,2023-09-07,83.05,80.0,25.0,49.5859213,1.983436853,48.3,48.23,True,False,False,0.1481481481481481,1,False,52.96,258.0,23.5,12.1,2.144,5.64365671641791,1,low
45.0,2023-09-08,ElJahliye,2023-09-07,70.44,60.0,24.0,53.3664596,2.223602484,31.9,46.98,True,False,False,0.1481481481481481,1,False,52.96,258.0,23.5,10.0,2.144,4.66417910447761,1,low
46.0,2023-09-11,Rachiine,2023-09-11,375.21,350.0,131.0,162.5120275,1.24054983,80.275,88.73,False,False,True,0.2962962962962963,0,False,61.03,264.0,25.61,13.2,2.24,5.89285714285714,0,low
47.0,2023-09-11,Rachiine,2023-09-11,364.47,350.0,120.0,287.0103093,2.39175258,89.165,98.15,False,False,True,0.2962962962962963,0,False,61.03,264.0,25.61,14.4,2.496,5.76923076923077,0,moderate
48.0,2023-09-11,Rachiine,2023-09-11,360.54,350.0,100.0,247.0790378,2.47079038,83.15,93.17,False,False,True,0.2962962962962963,0,False,61.03,264.0,25.61,14.2,2.528,5.61708860759494,0,moderate
49.0,2023-09-11,Rachiine,2023-09-11,230.73,220.0,90.0,251.7525773,2.79725086,61.47,73.15,False,False,True,0.2962962962962963,0,False,61.03,264.0,25.61,15.0,3.264,4.59558823529412,0,moderate
50.0,2023-09-11,Rachiine,2023-09-11,336.08,320.0,110.0,268.7628866,2.44329897,78.62,81.91,False,False,True,0.2962962962962963,0,False,61.03,264.0,25.61,12.2,2.048,5.95703125,0,moderate
51.0,2023-09-11,Rachiine,2023-09-11,225.87,220.0,84.0,222.8453608,2.65292096,67.065,74.62,False,False,True,0.2962962962962963,0,False,61.03,264.0,25.61,11.0,1.824,6.03070175438596,0,moderate
52.0,2023-09-11,Rachiine,2023-09-11,296.79,280.0,97.0,324.0,3.34020619,74.31,79.65,False,False,True,0.2962962962962963,0,False,61.03,264.0,25.61,13.6,2.848,4.7752808988764,0,moderate
53.0,2023-09-11,Rachiine,2023-09-11,267.51,250.0,90.0,402.9896907,4.47766323,69.155,78.31,False,False,True,0.2962962962962963,0,False,61.03,264.0,25.61,13.4,3.552,3.77252252252252,0,high
54.0,2023-09-11,Rachiine,2023-09-11,211.39,200.0,668.0,332.0549828,4.88316151,65.655,71.48,False,False,True,0.2962962962962963,0,False,61.03,264.0,25.61,13.2,3.52,3.75,0,moderate
55.0,2023-09-11,Rachiine,2023-09-11,259.22,250.0,103.0,339.4398625,3.29553265,73.165,75.46,False,False,True,0.2962962962962963,0,False,61.03,264.0,25.61,10.6,2.016,5.25793650793651,0,moderate
56.0,2023-09-13,Hasbaya,2023-09-12,151.08,150.0,53.0,167.5601375,3.16151203,53.15,65.22,False,True,False,0.3333333333333333,1,False,33.21,236.0,27.11,14.9,1.92,7.76041666666667,2,low
57.0,2023-09-13,Hasbaya,2023-09-12,174.02,170.0,66.0,249.0309278,3.77319588,56.73,71.68,False,True,False,0.3333333333333333,1,False,33.21,236.0,27.11,13.2,1.952,6.76229508196721,2,moderate
58.0,2023-09-13,Hasbaya,2023-09-12,170.03,160.0,68.0,225.7319588,3.31958763,54.555,66.21,False,True,False,0.3333333333333333,1,False,33.21,236.0,27.11,12.8,1.76,7.27272727272727,2,moderate
59.0,2023-09-13,Hasbaya,2023-09-12,207.87,200.0,67.0,302.9965636,4.52233677,52.335,66.34,False,True,False,0.3333333333333333,1,False,33.21,236.0,27.11,12.4,2.112,5.87121212121212,2,moderate
60.0,2023-09-13,Hasbaya,2023-09-12,205.79,200.0,74.0,334.9072165,4.5257732,59.045,69.93,False,True,False,0.3333333333333333,1,False,33.21,236.0,27.11,9.2,1.408,6.53409090909091,2,moderate
61.0,2023-09-13,Hasbaya,2023-09-12,131.08,130.0,42.0,151.8350515,3.61512027,49.03,62.73,False,True,False,0.3333333333333333,1,False,33.21,236.0,27.11,10.4,1.92,5.41666666666667,2,low
62.0,2023-09-13,Hasbaya,2023-09-12,241.47,220.0,96.0,237.5257732,2.4742268,60.545,80.77,False,True,False,0.3333333333333333,1,False,33.21,236.0,27.11,13.2,1.952,6.76229508196721,2,moderate
63.0,2023-09-13,Hasbaya,2023-09-12,172.79,160.0,67.0,162.0893471,2.41924399,56.3,65.98,False,True,False,0.3333333333333333,1,False,33.21,236.0,27.11,12.2,2.112,5.77651515151515,2,low
64.0,2023-09-13,Hasbaya,2023-09-12,153.07,140.0,59.0,167.6735395,2.8419244,54.33,68.48,False,True,False,0.3333333333333333,1,False,33.21,236.0,27.11,10.0,1.472,6.79347826086957,2,low
65.0,2023-09-13,Hasbaya,2023-09-12,236.55,230.0,92.0,238.3780069,2.59106529,60.77,79.96,False,True,False,0.3333333333333333,1,False,33.21,236.0,27.11,8.6,1.504,5.71808510638298,2,moderate
66.0,2023-09-13,Hasbaya,2023-09-12,179.06,160.0,63.0,195.7113402,3.10652921,55.42,69.41,False,True,False,0.3333333333333333,1,False,33.21,236.0,27.11,10.2,1.664,6.12980769230769,2,low
67.0,2023-09-13,Hasbaya,2023-09-12,174.8,160.0,68.0,150.0206186,2.20618557,53.655,66.6,False,True,False,0.3333333333333333,1,False,33.21,236.0,27.11,10.0,1.632,6.12745098039216,2,low
68.0,2023-09-13,Hasbaya,2023-09-12,294.53,280.0,102.0,199.7938144,1.95876289,65.16,89.35,False,True,False,0.3333333333333333,1,False,33.21,236.0,27.11,13.2,1.984,6.65322580645161,2,low
69.0,2023-09-13,Hasbaya,2023-09-12,189.72,180.0,78.0,205.0515464,2.62886598,56.555,68.82,False,True,False,0.3333333333333333,1,False,33.21,236.0,27.11,12.0,1.984,6.04838709677419,2,moderate
70.0,2023-09-13,Hasbaya,2023-09-12,180.24,170.0,60.0,222.6804124,3.71134021,55.85,69.79,False,True,False,0.3333333333333333,1,False,33.21,236.0,27.11,11.0,1.888,5.82627118644068,2,moderate
71.0,2023-09-13,Hasbaya,2023-09-12,159.38,150.0,59.0,151.2508591,2.56357388,52.545,66.03,False,True,False,0.3333333333333333,1,False,33.21,236.0,27.11,10.2,1.92,5.3125,2,low
72.0,2023-09-13,Hasbaya,2023-09-12,143.34,140.0,55.0,87.6975945,1.59450172,49.56,63.81,False,True,False,0.3333333333333333,1,False,33.21,236.0,27.11,12.4,1.952,6.35245901639344,2,low
73.0,2023-09-13,Hasbaya,2023-09-12,108.7,100.0,39.0,113.3814433,2.90721649,45.515,57.52,False,True,False,0.3333333333333333,1,False,33.21,236.0,27.11,11.4,1.92,5.9375,2,low
74.0,2023-09-13,Hasbaya,2023-09-12,267.77,260.0,105.0,215.7731959,2.05498282,65.33,79.13,False,True,False,0.3333333333333333,1,False,33.21,236.0,27.11,12.5,1.92,6.51041666666667,2,moderate
75.0,2023-09-13,Hasbaya,2023-09-12,286.63,270.0,115.0,222.0962199,1.93127148,60.16,76.85,False,True,False,0.3333333333333333,1,False,33.21,236.0,27.11,12.8,1.92,6.66666666666667,2,moderate
76.0,2023-09-15,ElJahliye,2023-09-14,239.4,220.0,89.0,197.2680412,2.216494845,64.2,75.4,True,False,False,0.4074074074074074,1,False,44.36,239.0,21.93,11.2,1.76,6.36363636363636,1,low
77.0,2023-09-15,ElJahliye,2023-09-14,135.65,130.0,53.0,117.838488,2.2233677,51.78,62.68,True,False,False,0.4074074074074074,1,False,44.36,239.0,21.93,13.0,1.92,6.77083333333333,1,low
78.0,2023-09-15,ElJahliye,2023-09-14,105.29,100.0,40.0,105.4295533,2.63573883,46.715,57.37,True,False,False,0.4074074074074074,1,False,44.36,239.0,21.93,12.0,1.6,7.5,1,low
79.0,2023-09-15,ElJahliye,2023-09-14,178.94,160.0,67.0,158.1752577,2.36082474,58.565,67.56,True,False,False,0.4074074074074074,1,False,44.36,239.0,21.93,12.0,1.824,6.57894736842105,1,low
80.0,2023-09-15,ElJahliye,2023-09-14,239.43,230.0,89.0,315.9347079,3.54982818,62.64,79.31,True,False,False,0.4074074074074074,1,False,44.36,239.0,21.93,11.0,1.76,6.25,1,moderate
81.0,2023-09-15,ElJahliye,2023-09-14,172.64,150.0,68.0,139.9725086,2.05841924,57.67,65.21,True,False,False,0.4074074074074074,1,False,44.36,239.0,21.93,12.0,1.888,6.35593220338983,1,low
82.0,2023-09-15,ElJahliye,2023-09-14,152.35,140.0,38.0,115.6975945,3.04467354,54.89,63.52,True,False,False,0.4074074074074074,1,False,44.36,239.0,21.93,13.4,3.296,4.06553398058252,1,low
83.0,2023-09-15,ElJahliye,2023-09-14,96.12,90.0,45.0,139.1752577,3.09278351,46.045,56.55,True,False,False,0.4074074074074074,1,False,44.36,239.0,21.93,14.8,1.856,7.97413793103448,1,low
84.0,2023-09-15,ElJahliye,2023-09-14,214.92,200.0,82.0,163.7182131,1.99656357,59.64,78.91,True,False,False,0.4074074074074074,1,True,44.36,239.0,21.93,14.0,1.568,8.92857142857143,1,low
85.0,2023-09-15,ElJahliye,2023-09-14,177.15,160.0,63.0,178.8247423,2.83848797,56.845,68.42,True,False,False,0.4074074074074074,1,False,44.36,239.0,21.93,13.0,2.176,5.97426470588235,1,low
86.0,2023-09-15,ElJahliye,2023-09-14,95.41,90.0,34.0,86.10996564,2.53264605,47.295,52.91,True,False,False,0.4074074074074074,1,False,44.36,239.0,21.93,14.2,3.424,4.14719626168224,1,low
87.0,2023-09-15,ElJahliye,2023-09-14,98.03,90.0,30.0,79.27835052,2.64261168,48.77,56.81,True,False,False,0.4074074074074074,1,False,44.36,239.0,21.93,10.6,2.208,4.80072463768116,1,low
88.0,2023-09-15,ElJahliye,2023-09-14,120.68,110.0,48.0,112.6597938,2.34707904,49.915,58.37,True,False,False,0.4074074074074074,1,False,44.36,239.0,21.93,14.2,3.84,3.69791666666667,1,low
89.0,2023-09-15,ElJahliye,2023-09-14,184.65,170.0,70.0,216.0137457,3.08591065,59.71,67.8,True,False,False,0.4074074074074074,1,False,44.36,239.0,21.93,10.2,1.792,5.69196428571429,1,moderate
90.0,2023-09-15,ElJahliye,2023-09-14,145.83,140.0,53.0,123.8487973,2.33676976,52.175,67.97,True,False,False,0.4074074074074074,1,False,44.36,239.0,21.93,11.0,2.016,5.45634920634921,1,low
91.0,2023-09-15,ElJahliye,2023-09-14,136.92,130.0,52.0,143.6701031,2.7628866,49.88,63.13,True,False,False,0.4074074074074074,1,False,44.36,239.0,21.93,11.0,1.408,7.8125,1,low
92.0,2023-09-15,ElJahliye,2023-09-14,124.17,120.0,45.0,124.1752577,2.75945017,45.58,56.57,True,False,False,0.4074074074074074,1,False,44.36,239.0,21.93,12.2,2.752,4.43313953488372,1,low
93.0,2023-09-15,ElJahliye,2023-09-14,138.0,130.0,53.0,133.137457,2.51202749,48.505,62.94,True,False,False,0.4074074074074074,1,False,44.36,239.0,21.93,14.4,1.792,8.03571428571429,1,low
94.0,2023-09-15,ElJahliye,2023-09-14,170.51,150.0,64.0,150.4329897,2.35051546,56.42,67.33,True,False,False,0.4074074074074074,1,True,44.36,239.0,21.93,13.2,1.536,8.59375,1,low
95.0,2023-09-15,ElJahliye,2023-09-14,92.96,90.0,33.0,103.3092784,3.13058419,48.705,54.92,True,False,False,0.4074074074074074,1,False,44.36,239.0,21.93,15.5,3.008,5.15292553191489,1,low
96.0,2023-09-20,Rachiine,2023-09-20,367.96,350.0,116.0,272.2133333,2.346666667,77.195,88.16,False,False,True,0.6296296296296297,0,False,69.15,136.0,24.0,15.8,9.984,1.58253205128205,0,moderate
97.0,2023-09-20,Rachiine,2023-09-20,401.33,390.0,98.0,177.0533333,1.806666667,84.41,93.79,False,False,True,0.6296296296296297,0,False,69.15,136.0,24.0,13.0,7.552,1.72139830508475,0,low
98.0,2023-09-20,Rachiine,2023-09-20,301.98,290.0,110.0,211.5666667,1.923333333,71.315,82.23,False,False,True,0.6296296296296297,0,False,69.15,136.0,24.0,15.0,9.12,1.64473684210526,0,moderate
99.0,2023-09-20,Rachiine,2023-09-20,446.36,430.0,115.0,211.2166667,1.836666667,83.41,92.82,False,False,True,0.6296296296296297,0,False,69.15,136.0,24.0,12.4,12.352,1.00388601036269,0,moderate
100.0,2023-09-20,Rachiine,2023-09-20,329.29,300.0,127.0,375.4966667,2.956666667,74.08,85.92,False,False,True,0.6296296296296297,0,False,69.15,136.0,24.0,15.0,21.12,0.710227272727273,0,moderate
101.0,2023-09-20,Rachiine,2023-09-20,292.34,280.0,110.0,298.8333333,2.716666667,72.955,79.39,False,False,True,0.6296296296296297,0,False,69.15,136.0,24.0,15.4,10.528,1.46276595744681,0,moderate
