no.,receiving_date,location,harvesting_date,mass_g,volume_ml,yield_of_juice_ml,polyphenols_content_mg,polyphenols_concentration_mggae/ml,length,width,location_ElJahliye,location_Hasbaya,location_Rachiine,day_time_diff,n_days,maturity,humidity,solar_radiation,air_temperature,degree_brix,ta_av,mi,Cluster,polyphenols_category,mean_R,mean_G,mean_B,mean_intensity,variance_intensity,skewness_intensity,kurtosis_intensity,median_intensity,mode_intensity,mean_a,mean_b,mean_L,mean_intensity_lab,variance_intensity_lab,skewness_intensity_lab,kurtosis_intensity_lab,median_intensity_lab,mode_intensity_lab
1.0,2023-09-05,Hasbaya,2023-09-04,295.8,290.0,100.0,118.2194617,1.182194617,69.185,84.98,False,True,False,0.037037037037037,1,False,57.05,272.0,24.16,14.2,1.792,7.92410714285714,2,low,158.8314,125.19204,114.0839,0.0,946.3941486804887,22675.221312200683,2737653.317317429,126.0,128.0,158.8314,125.19204,114.0839,0.0,946.3941486804887,22675.221312200683,2737653.317317429,126.0,128.0
2.0,2023-09-05,Hasbaya,2023-09-04,165.28,150.0,61.0,50.64389234,0.830227743,58.32,69.82,False,True,False,0.037037037037037,1,False,57.05,272.0,24.16,12.0,1.696,7.07547169811321,2,low,165.77148,120.68142,121.08752,0.0,710.2773118026223,21965.239128796267,1491372.840658781,126.0,128.0,165.77148,120.68142,121.08752,0.0,710.2773118026223,21965.239128796267,1491372.840658781,126.0,128.0
3.0,2023-09-05,Hasbaya,2023-09-04,154.8,150.0,43.0,69.5300207,1.616977226,55.735,70.06,False,True,False,0.037037037037037,1,False,57.05,272.0,24.16,10.5,1.68,6.25,2,low,166.65732,121.6768,118.30442,0.0,819.1878140742667,27572.078646755046,2069273.7470722517,126.0,128.0,166.65732,121.6768,118.30442,0.0,819.1878140742667,27572.078646755046,2069273.7470722517,126.0,128.0
4.0,2023-09-05,Hasbaya,2023-09-04,169.76,150.0,51.0,85.21118012,1.670807453,58.91,70.1,False,True,False,0.037037037037037,1,False,57.05,272.0,24.16,11.2,1.776,6.30630630630631,2,low,148.38298,127.79236,118.32298,0.0,1430.1159730197335,-6747.800665165126,6821121.539428937,127.0,128.0,148.38298,127.79236,118.32298,0.0,1430.1159730197335,-6747.800665165126,6821121.539428937,127.0,128.0
5.0,2023-09-05,Hasbaya,2023-09-04,238.38,240.0,93.0,162.1242236,1.743271222,66.945,78.83,False,True,False,0.037037037037037,1,False,57.05,272.0,24.16,13.0,1.744,7.45412844036697,2,low,160.55956,124.06276,114.83056,0.0,874.2019844117332,25114.96624508401,2507646.997913655,126.0,128.0,160.55956,124.06276,114.83056,0.0,874.2019844117332,25114.96624508401,2507646.997913655,126.0,128.0
6.0,2023-09-05,Hasbaya,2023-09-04,281.34,270.0,94.0,93.41614907,0.99378882,68.32,81.62,False,True,False,0.037037037037037,1,False,57.05,272.0,24.16,12.0,1.6,7.5,2,low,154.14544,117.66582,124.55854,0.0,838.8217653288888,25548.35418485159,2318576.8638073076,126.0,126.0,154.14544,117.66582,124.55854,0.0,838.8217653288888,25548.35418485159,2318576.8638073076,126.0,126.0
7.0,2023-09-05,Hasbaya,2023-09-04,174.9,150.0,70.0,85.36231884,1.219461698,55.11,68.75,False,True,False,0.037037037037037,1,False,57.05,272.0,24.16,12.0,1.648,7.28155339805825,2,low,168.29008,117.56426,118.81236,0.0,836.7399034566665,28040.687161152724,2101813.776090665,125.0,125.0,168.29008,117.56426,118.81236,0.0,836.7399034566665,28040.687161152724,2101813.776090665,125.0,125.0
8.0,2023-09-05,Hasbaya,2023-09-04,142.23,140.0,58.0,106.5134576,1.836438923,53.81,66.68,False,True,False,0.037037037037037,1,False,57.05,272.0,24.16,11.2,1.728,6.48148148148148,2,low,160.33654,118.11522,123.01842,0.0,709.3342834186222,21479.468831721028,1606368.976734276,126.0,128.0,160.33654,118.11522,123.01842,0.0,709.3342834186222,21479.468831721028,1606368.976734276,126.0,128.0
9.0,2023-09-05,Hasbaya,2023-09-04,158.59,150.0,50.0,64.59627329,1.291925466,58.335,65.35,False,True,False,0.037037037037037,1,False,57.05,272.0,24.16,11.0,1.872,5.87606837606838,2,low,170.75752,120.7259,118.68294,0.0,881.5316227056,30689.666159094097,2336347.423365647,126.0,125.0,170.75752,120.7259,118.68294,0.0,881.5316227056,30689.666159094097,2336347.423365647,126.0,125.0
10.0,2023-09-05,Hasbaya,2023-09-04,150.62,150.0,59.0,94.79089027,1.606625259,54.63,69.45,False,True,False,0.037037037037037,1,False,57.05,272.0,24.16,12.5,2.32,5.38793103448276,2,low,155.5408,119.13188,120.2819,0.0,618.1199996692889,20225.41185311465,1440881.689414903,126.0,126.0,155.5408,119.13188,120.2819,0.0,618.1199996692889,20225.41185311465,1440881.689414903,126.0,126.0
