no.,receiving_date,location,harvesting_date,mass_g,volume_ml,yield_of_juice_ml,polyphenols_content_mg,polyphenols_concentration_mggae/ml,length,width,location_ElJahliye,location_Hasbaya,location_Rachiine,day_time_diff,n_days,maturity,humidity,solar_radiation,air_temperature,degree_brix,ta_av,mi,color_intensity_n,color_intensity_d,color_intensity,dilution,precipitation,day_time_diff_harvesting,day_time_diff_receiving,days_since_harvesting,normalized_days_since_harvesting,harvesting_mapping
1.0,2023-09-05,Hasbaya,2023-09-04,295.8,290.0,100.0,118.219462,1.182195,69.185,84.98,False,True,False,0.037037,1,False,57.05,272.0,24.16,14.2,0.3519999999999999,40.340909090909086,1.360261,0.0,1.360261,False,0.0,0.037037037037037,0.037037037037037,1,0.25,0.0
2.0,2023-09-05,Hasbaya,2023-09-04,165.28,150.0,61.0,50.643892,0.830228,58.32,69.82,False,True,False,0.037037,1,False,57.05,272.0,24.16,12.0,0.3648,32.89473684210526,0.926133,0.0,0.926133,False,0.0,0.037037037037037,0.037037037037037,1,0.25,0.0
3.0,2023-09-05,Hasbaya,2023-09-04,154.8,150.0,43.0,69.530021,1.616977,55.735,70.06,False,True,False,0.037037,1,False,57.05,272.0,24.16,10.5,0.3135999999999999,33.48214285714286,0.528532,0.0,0.528532,False,0.0,0.037037037037037,0.037037037037037,1,0.25,0.0
4.0,2023-09-05,Hasbaya,2023-09-04,169.76,150.0,51.0,85.21118,1.670807,58.91,70.1,False,True,False,0.037037,1,False,57.05,272.0,24.16,11.2,0.3583999999999999,31.250000000000004,0.638198,0.0,0.638198,False,0.0,0.037037037037037,0.037037037037037,1,0.25,0.0
5.0,2023-09-05,Hasbaya,2023-09-04,238.38,240.0,93.0,162.124224,1.743271,66.945,78.83,False,True,False,0.037037,1,False,57.05,272.0,24.16,13.0,0.3519999999999999,36.93181818181819,0.562905,0.0,0.562905,False,0.0,0.037037037037037,0.037037037037037,1,0.25,0.0
6.0,2023-09-05,Hasbaya,2023-09-04,281.34,270.0,94.0,93.416149,0.993789,68.32,81.62,False,True,False,0.037037,1,False,57.05,272.0,24.16,12.0,0.3456,34.72222222222222,0.914399,0.0,0.914399,False,0.0,0.037037037037037,0.037037037037037,1,0.25,0.0
7.0,2023-09-05,Hasbaya,2023-09-04,174.9,150.0,70.0,85.362319,1.219462,55.11,68.75,False,True,False,0.037037,1,False,57.05,272.0,24.16,12.0,0.2944,40.76086956521739,0.675818,0.0,0.675818,False,0.0,0.037037037037037,0.037037037037037,1,0.25,0.0
8.0,2023-09-05,Hasbaya,2023-09-04,142.23,140.0,58.0,106.513458,1.836439,53.81,66.68,False,True,False,0.037037,1,False,57.05,272.0,24.16,11.2,0.3648,30.70175438596491,0.381638,0.0,0.381638,False,0.0,0.037037037037037,0.037037037037037,1,0.25,0.0
9.0,2023-09-05,Hasbaya,2023-09-04,158.59,150.0,50.0,64.596273,1.291925,58.335,65.35,False,True,False,0.037037,1,False,57.05,272.0,24.16,11.0,0.3264,33.70098039215686,1.12395,0.0,1.12395,False,0.0,0.037037037037037,0.037037037037037,1,0.25,0.0
10.0,2023-09-05,Hasbaya,2023-09-04,150.62,150.0,59.0,94.79089,1.606625,54.63,69.45,False,True,False,0.037037,1,False,57.05,272.0,24.16,12.5,0.4224,29.59280303030303,0.518609,0.0,0.518609,False,0.0,0.037037037037037,0.037037037037037,1,0.25,0.0
11.0,2023-09-05,Hasbaya,2023-09-04,230.43,220.0,78.0,147.763975,1.89441,64.315,79.73,False,True,False,0.037037,1,False,57.05,272.0,24.16,12.9,0.5056,25.51424050632912,0.255624,0.0,0.255624,False,0.0,0.037037037037037,0.037037037037037,1,0.25,0.0
12.0,2023-09-05,Hasbaya,2023-09-04,117.65,150.0,36.0,73.863354,2.05176,49.72,58.31,False,True,False,0.037037,1,False,57.05,272.0,24.16,13.0,0.4736,27.44932432432432,0.713053,0.0,0.713053,False,0.0,0.037037037037037,0.037037037037037,1,0.25,0.0
13.0,2023-09-05,Hasbaya,2023-09-04,217.3,200.0,76.0,207.072464,2.724638,60.68,72.41,False,True,False,0.037037,1,False,57.05,272.0,24.16,13.8,0.3968,34.77822580645161,0.348246,0.0,0.348246,False,0.0,0.037037037037037,0.037037037037037,1,0.25,0.0
14.0,2023-09-05,Hasbaya,2023-09-04,117.82,140.0,68.0,126.144927,1.855072,57.715,68.64,False,True,False,0.037037,1,False,57.05,272.0,24.16,11.0,0.3392,32.429245283018865,0.556946,0.0,0.556946,False,0.0,0.037037037037037,0.037037037037037,1,0.25,0.0
15.0,2023-09-05,Hasbaya,2023-09-04,220.95,200.0,61.0,142.585921,2.337474,67.14,76.47,False,True,False,0.037037,1,False,57.05,272.0,24.16,12.5,0.448,27.90178571428571,0.388774,0.0,0.388774,False,0.0,0.037037037037037,0.037037037037037,1,0.25,0.0
16.0,2023-09-05,Hasbaya,2023-09-04,263.7,250.0,100.0,108.281573,1.082816,66.05,79.81,False,True,False,0.037037,1,False,57.05,272.0,24.16,10.0,0.3392,29.481132075471688,0.62703,0.0,0.62703,False,0.0,0.037037037037037,0.037037037037037,1,0.25,0.0
18.0,2023-09-05,Hasbaya,2023-09-04,146.03,140.0,48.0,82.881988,1.726708,47.52,62.08,False,True,False,0.037037,1,False,57.05,272.0,24.16,13.2,0.3904,33.811475409836056,0.74167,0.0,0.74167,False,0.0,0.037037037037037,0.037037037037037,1,0.25,0.0
19.0,2023-09-05,Hasbaya,2023-09-04,143.9,140.0,53.0,111.925466,2.111801,52.24,63.83,False,True,False,0.037037,1,False,57.05,272.0,24.16,10.6,0.4607999999999999,23.00347222222222,0.371895,0.0,0.371895,False,0.0,0.037037037037037,0.037037037037037,1,0.25,0.0
20.0,2023-09-05,Hasbaya,2023-09-04,181.34,170.0,61.0,108.486542,1.778468,55.18,69.48,False,True,False,0.037037,1,False,57.05,272.0,24.16,11.6,0.4352,26.65441176470588,0.559013,0.0,0.559013,False,0.0,0.037037037037037,0.037037037037037,1,0.25,0.0
21.0,2023-09-05,Hasbaya,2023-09-04,108.66,150.0,32.0,50.550725,1.57971,41.89,54.42,False,True,False,0.037037,1,False,57.05,272.0,24.16,12.8,0.512,25.0,0.560856,0.0,0.560856,False,0.0,0.037037037037037,0.037037037037037,1,0.25,0.0
22.0,2023-09-05,Hasbaya,2023-09-04,157.77,100.0,60.0,150.062112,2.501035,56.375,67.43,False,True,False,0.037037,1,False,57.05,272.0,24.16,13.0,0.4736,27.44932432432432,0.358847,0.0,0.358847,False,0.0,0.037037037037037,0.037037037037037,1,0.25,0.0
23.0,2023-09-05,Hasbaya,2023-09-04,246.62,250.0,92.0,243.428571,2.645963,65.635,75.88,False,True,False,0.037037,1,False,57.05,272.0,24.16,13.5,0.4608,29.296875,0.490028,0.0,0.490028,False,0.0,0.037037037037037,0.037037037037037,1,0.25,0.0
24.0,2023-09-08,ElJahliye,2023-09-07,133.76,140.0,43.0,73.358178,1.706004,56.485,62.2,True,False,False,0.148148,1,False,52.96,258.0,23.5,11.1,0.3904,28.43237704918032,0.629643,0.0,0.629643,False,0.0,0.1481481481481481,0.1481481481481481,1,0.25,0.041666666666666664
25.0,2023-09-08,ElJahliye,2023-09-07,108.61,100.0,38.0,59.635611,1.569358,49.11,53.71,True,False,False,0.148148,1,False,52.96,258.0,23.5,12.2,0.576,21.18055555555556,1.829162,0.0,1.829162,False,0.0,0.1481481481481481,0.1481481481481481,1,0.25,0.041666666666666664
26.0,2023-09-08,ElJahliye,2023-09-07,152.39,140.0,53.0,84.492754,1.594203,58.5,63.76,True,False,False,0.148148,1,False,52.96,258.0,23.5,11.9,0.4032000000000001,29.51388888888888,0.657225,0.0,0.657225,False,0.0,0.1481481481481481,0.1481481481481481,1,0.25,0.041666666666666664
27.0,2023-09-08,ElJahliye,2023-09-07,153.66,150.0,52.0,99.801242,1.919255,56.32,64.67,True,False,False,0.148148,1,False,52.96,258.0,23.5,12.0,0.4224,28.409090909090907,0.824723,0.0,0.824723,False,0.0,0.1481481481481481,0.1481481481481481,1,0.25,0.041666666666666664
28.0,2023-09-08,ElJahliye,2023-09-07,212.93,200.0,73.0,163.985507,2.246377,65.37,73.96,True,False,False,0.148148,1,False,52.96,258.0,23.5,11.8,0.4352,27.113970588235293,0.858985,0.0,0.858985,False,0.0,0.1481481481481481,0.1481481481481481,1,0.25,0.041666666666666664
29.0,2023-09-08,ElJahliye,2023-09-07,236.54,220.0,81.0,169.881988,2.097308,65.07,74.14,True,False,False,0.148148,1,False,52.96,258.0,23.5,12.0,0.4288,27.98507462686567,0.592641,0.0,0.592641,False,0.0,0.1481481481481481,0.1481481481481481,1,0.25,0.041666666666666664
30.0,2023-09-08,ElJahliye,2023-09-07,159.69,150.0,54.0,135.391304,2.507246,55.155,68.41,True,False,False,0.148148,1,False,52.96,258.0,23.5,15.0,0.4992,30.04807692307692,1.550338,0.0,1.550338,False,0.0,0.1481481481481481,0.1481481481481481,1,0.25,0.041666666666666664
31.0,2023-09-08,ElJahliye,2023-09-07,143.94,140.0,48.0,88.745342,1.848861,50.505,57.6,True,False,False,0.148148,1,False,52.96,258.0,23.5,12.6,0.3712,33.943965517241374,2.157182,0.0,2.157182,False,0.0,0.1481481481481481,0.1481481481481481,1,0.25,0.041666666666666664
32.0,2023-09-08,ElJahliye,2023-09-07,203.39,190.0,70.0,136.231884,1.94617,59.815,80.78,True,False,False,0.148148,1,False,52.96,258.0,23.5,13.0,0.3584,36.27232142857142,1.746147,0.0,1.746147,False,0.0,0.1481481481481481,0.1481481481481481,1,0.25,0.041666666666666664
33.0,2023-09-08,ElJahliye,2023-09-07,151.04,140.0,54.0,133.602485,2.47412,54.36,63.47,True,False,False,0.148148,1,False,52.96,258.0,23.5,13.6,0.448,30.357142857142847,1.127148,0.0,1.127148,False,0.0,0.1481481481481481,0.1481481481481481,1,0.25,0.041666666666666664
34.0,2023-09-08,ElJahliye,2023-09-07,156.5,150.0,52.0,110.244306,2.120083,55.585,64.54,True,False,False,0.148148,1,False,52.96,258.0,23.5,14.0,0.4032,34.72222222222222,1.544629,0.0,1.544629,False,0.0,0.1481481481481481,0.1481481481481481,1,0.25,0.041666666666666664
35.0,2023-09-08,ElJahliye,2023-09-07,101.91,100.0,32.0,66.583851,2.080745,50.53,57.72,True,False,False,0.148148,1,False,52.96,258.0,23.5,13.9,0.768,18.09895833333333,2.068295,0.0,2.068295,False,0.0,0.1481481481481481,0.1481481481481481,1,0.25,0.041666666666666664
36.0,2023-09-08,ElJahliye,2023-09-07,137.94,130.0,44.0,60.215321,1.36853,53.16,62.33,True,False,False,0.148148,1,False,52.96,258.0,23.5,11.2,0.4288,26.119402985074625,0.789083,0.0,0.789083,False,0.0,0.1481481481481481,0.1481481481481481,1,0.25,0.041666666666666664
37.0,2023-09-08,ElJahliye,2023-09-07,151.84,140.0,49.0,80.449275,1.641822,53.065,64.54,True,False,False,0.148148,1,False,52.96,258.0,23.5,12.5,0.3456,36.16898148148148,1.454975,0.0,1.454975,False,0.0,0.1481481481481481,0.1481481481481481,1,0.25,0.041666666666666664
38.0,2023-09-08,ElJahliye,2023-09-07,109.34,110.0,35.0,51.231884,1.463768,48.46,59.31,True,False,False,0.148148,1,False,52.96,258.0,23.5,13.0,0.4928,26.379870129870127,0.665154,0.0,0.665154,False,0.0,0.1481481481481481,0.1481481481481481,1,0.25,0.041666666666666664
39.0,2023-09-08,ElJahliye,2023-09-07,87.67,90.0,32.0,55.320911,1.728778,45.365,54.33,True,False,False,0.148148,1,False,52.96,258.0,23.5,12.6,0.4928,25.568181818181817,0.504388,0.0,0.504388,False,0.0,0.1481481481481481,0.1481481481481481,1,0.25,0.041666666666666664
40.0,2023-09-08,ElJahliye,2023-09-07,81.41,80.0,20.0,31.594203,1.57971,44.5,48.08,True,False,False,0.148148,1,False,52.96,258.0,23.5,13.0,0.7232,17.975663716814157,1.060092,0.0,1.060092,False,0.0,0.1481481481481481,0.1481481481481481,1,0.25,0.041666666666666664
41.0,2023-09-08,ElJahliye,2023-09-07,62.58,60.0,21.0,44.73913,2.130435,38.07,47.2,True,False,False,0.148148,1,False,52.96,258.0,23.5,14.1,0.9088,15.514964788732392,1.465953,0.0,1.465953,False,0.0,0.1481481481481481,0.1481481481481481,1,0.25,0.041666666666666664
42.0,2023-09-08,ElJahliye,2023-09-07,103.14,100.0,39.0,69.440994,1.780538,48.98,58.2,True,False,False,0.148148,1,False,52.96,258.0,23.5,13.9,0.576,24.131944444444443,0.733977,0.0,0.733977,False,0.0,0.1481481481481481,0.1481481481481481,1,0.25,0.041666666666666664
43.0,2023-09-08,ElJahliye,2023-09-07,97.81,90.0,34.0,82.993789,2.440994,46.465,55.48,True,False,False,0.148148,1,False,52.96,258.0,23.5,14.2,0.4736,29.983108108108105,1.849376,0.0,1.849376,False,0.0,0.1481481481481481,0.1481481481481481,1,0.25,0.041666666666666664
44.0,2023-09-08,ElJahliye,2023-09-07,83.05,80.0,25.0,49.585921,1.983437,48.3,48.23,True,False,False,0.148148,1,False,52.96,258.0,23.5,12.1,0.4288,28.21828358208955,0.658041,0.0,0.658041,False,0.0,0.1481481481481481,0.1481481481481481,1,0.25,0.041666666666666664
45.0,2023-09-08,ElJahliye,2023-09-07,70.44,60.0,24.0,53.36646,2.223602,31.9,46.98,True,False,False,0.148148,1,False,52.96,258.0,23.5,10.0,0.4288,23.32089552238806,1.371028,0.0,1.371028,False,0.0,0.1481481481481481,0.1481481481481481,1,0.25,0.041666666666666664
46.0,2023-09-11,Rachiine,2023-09-11,375.21,350.0,131.0,162.512027,1.24055,80.275,88.73,False,False,True,0.296296,0,False,61.03,264.0,25.61,13.2,0.448,29.464285714285708,1.118879,0.0,1.118879,False,0.0,0.2962962962962963,0.2592592592592592,0,0.0,0.09722222222222222
47.0,2023-09-11,Rachiine,2023-09-11,364.47,350.0,120.0,287.010309,2.391753,89.165,98.15,False,False,True,0.296296,0,False,61.03,264.0,25.61,14.4,0.4992,28.846153846153843,1.422392,0.0,1.422392,False,0.0,0.2962962962962963,0.2592592592592592,0,0.0,0.09722222222222222
48.0,2023-09-11,Rachiine,2023-09-11,360.54,350.0,100.0,247.079038,2.47079,83.15,93.17,False,False,True,0.296296,0,False,61.03,264.0,25.61,14.2,0.5056,28.08544303797468,0.80093,0.0,0.80093,False,0.0,0.2962962962962963,0.2592592592592592,0,0.0,0.09722222222222222
49.0,2023-09-11,Rachiine,2023-09-11,230.73,220.0,90.0,251.752577,2.797251,61.47,73.15,False,False,True,0.296296,0,False,61.03,264.0,25.61,15.0,0.6528,22.977941176470587,1.183129,0.0,1.183129,False,0.0,0.2962962962962963,0.2592592592592592,0,0.0,0.09722222222222222
50.0,2023-09-11,Rachiine,2023-09-11,336.08,320.0,110.0,268.762887,2.443299,78.62,81.91,False,False,True,0.296296,0,False,61.03,264.0,25.61,12.2,0.4096,29.78515625,1.208456,0.0,1.208456,False,0.0,0.2962962962962963,0.2592592592592592,0,0.0,0.09722222222222222
51.0,2023-09-11,Rachiine,2023-09-11,225.87,220.0,84.0,222.845361,2.652921,67.065,74.62,False,False,True,0.296296,0,False,61.03,264.0,25.61,11.0,0.3648,30.153508771929825,1.573911,0.0,1.573911,False,0.0,0.2962962962962963,0.2592592592592592,0,0.0,0.09722222222222222
52.0,2023-09-11,Rachiine,2023-09-11,296.79,280.0,97.0,324.0,3.340206,74.31,79.65,False,False,True,0.296296,0,False,61.03,264.0,25.61,13.6,0.5696000000000001,23.87640449438201,1.642719,0.0,1.642719,False,0.0,0.2962962962962963,0.2592592592592592,0,0.0,0.09722222222222222
53.0,2023-09-11,Rachiine,2023-09-11,267.51,250.0,90.0,402.989691,4.477663,69.155,78.31,False,False,True,0.296296,0,False,61.03,264.0,25.61,13.4,0.7103999999999999,18.86261261261261,1.653966,0.0,1.653966,False,0.0,0.2962962962962963,0.2592592592592592,0,0.0,0.09722222222222222
54.0,2023-09-11,Rachiine,2023-09-11,211.39,200.0,668.0,332.054983,4.883162,65.655,71.48,False,False,True,0.296296,0,False,61.03,264.0,25.61,13.2,0.7039999999999998,18.75,1.667873,0.0,1.667873,False,0.0,0.2962962962962963,0.2592592592592592,0,0.0,0.09722222222222222
55.0,2023-09-11,Rachiine,2023-09-11,259.22,250.0,103.0,339.439863,3.295533,73.165,75.46,False,False,True,0.296296,0,False,61.03,264.0,25.61,10.6,0.4032,26.289682539682538,0.802368,0.0,0.802368,False,0.0,0.2962962962962963,0.2592592592592592,0,0.0,0.09722222222222222
56.0,2023-09-13,Hasbaya,2023-09-12,151.08,150.0,53.0,167.560137,3.161512,53.15,65.22,False,True,False,0.333333,1,False,33.21,236.0,27.11,14.9,0.384,38.802083333333336,1.494355,0.0,1.494355,False,0.0,0.3333333333333333,0.3333333333333333,1,0.25,0.1111111111111111
57.0,2023-09-13,Hasbaya,2023-09-12,174.02,170.0,66.0,249.030928,3.773196,56.73,71.68,False,True,False,0.333333,1,False,33.21,236.0,27.11,13.2,0.3904,33.811475409836056,0.922617,0.0,0.922617,False,0.0,0.3333333333333333,0.3333333333333333,1,0.25,0.1111111111111111
58.0,2023-09-13,Hasbaya,2023-09-12,170.03,160.0,68.0,225.731959,3.319588,54.555,66.21,False,True,False,0.333333,1,False,33.21,236.0,27.11,12.8,0.3519999999999999,36.36363636363637,1.050706,0.0,1.050706,False,0.0,0.3333333333333333,0.3333333333333333,1,0.25,0.1111111111111111
59.0,2023-09-13,Hasbaya,2023-09-12,207.87,200.0,67.0,302.996564,4.522337,52.335,66.34,False,True,False,0.333333,1,False,33.21,236.0,27.11,12.4,0.4224,29.3560606060606,0.896551,0.0,0.896551,False,0.0,0.3333333333333333,0.3333333333333333,1,0.25,0.1111111111111111
